code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,year,quarter
000509,华塑控股,6.42,18.43,36.0034,23.9174,0.1111,129.7648,0.603,2000,2
600178,东安动力,6.42,9.22,24.8847,73.1812,0.1732,793.3386,1.8777,2000,2
000425,徐工机械,6.42,5.58,21.261,40.5131,0.1148,725.5639,2.0569,2000,2
600000,浦发银行,6.38,24.53,12.7754,530.2665,0.22,2161.1938,0.8967,2000,2
600153,建发股份,6.38,2.12,5.2379999999999995,48.4093,0.2012,2282.915,9.4923,2000,2
600621,华鑫股份,6.37,11.98,20.4272,52.097,0.1292,434.5763,1.0779,2000,2
600892,大晟文化,6.37,0.82,29.2571,0.2046,0.004,24.7874,0.4908,2000,2
600336,澳柯玛,6.33,7.69,30.8714,28.9734,0.1154,376.2997,1.4989,2000,2
600602,云赛智联,6.31,6.89,18.5153,181.5353,0.2153,2631.6527,3.122,2000,2
000626,远大控股,6.3,0.91,3.5848,9.5971,0.071,1043.5193,7.7297,2000,2
000863,三湘印象,6.29,14.57,33.3942,15.1279,0.223,103.771,1.5303,2000,2
600790,轻纺城,6.28,8.15,25.4053,38.3043,0.1953,469.7783,2.3964,2000,2
600880,博瑞传播,6.27,15.34,34.5922,13.0622,0.1003,85.1175,0.6538,2000,2
600630,龙头股份,6.24,9.18,22.6122,79.3216,0.2114,863.6969,2.3019,2000,2
600740,山西焦化,6.24,18.6,46.6493,28.6864,0.1579,154.156,0.8488,2000,2
000402,金融街,6.23,14.17,29.6201,11.2901,0.0896,79.6582,0.6326,2000,2
000761,本钢板材,6.22,6.09,11.0264,204.9169,0.1803,3360.3996,2.958,2000,2
000630,铜陵有色,6.2,6.89,14.7887,70.3407,0.1932,1020.5042,2.8035,2000,2
600089,特变电工,6.2,11.95,22.0591,52.4762,0.2196,438.8965,1.8371,2000,2
600805,悦达投资,6.19,19.91,25.0874,106.6506,0.1955,535.4605,0.9816,2000,2
000709,河钢股份,6.14,10.46,22.1138,339.199,0.2505,3240.2928,2.3934,2000,2
000727,华东科技,6.14,36.58,16.2785,49.0195,0.2031,133.9811,0.5551,2000,2
000581,威孚高科,6.13,17.0,24.031,77.567,0.1966,456.0409,1.156,2000,2
000836,鑫茂科技,6.12,6.94,11.6411,29.816,0.2514,429.0956,4.1759,2000,2
600165,新日恒力,6.11,19.55,22.8532,27.0596,0.1266,138.3835,0.6478,2000,2
600277,亿利洁能,6.07,12.52,30.329,11.3842,0.1138,90.8777,0.9087,2000,2
600662,强生控股,6.05,17.38,38.7354,50.7943,0.1808,292.2088,1.0401,2000,2
600895,张江高科,6.02,39.34,43.0922,47.6674,0.2043,121.1634,0.5194,2000,2
600171,上海贝岭,6.02,24.56,35.6496,70.6985,0.1627,287.8084,0.6624,2000,2
600067,冠城大通,6.0,6.79,20.8558,11.3699,0.13699999999999998,167.294,2.0163,2000,2
600320,振华重工,6.0,6.6,11.8793,52.8504,0.1434,800.1411,2.1713,2000,2
000541,佛山照明,5.98,23.65,33.607,75.4352,0.2485,318.8347,1.0507,2000,2
000987,越秀金控,5.97,4.49,19.102,21.1556,0.1415,470.5289,3.1489999999999996,2000,2
000878,云南铜业,5.96,7.52,14.2979,84.6211,0.1157,1124.518,1.5387,2000,2
000011,深物业A,5.95,4.16,28.3496,10.5882,0.0195,254.2408,0.4692,2000,2
600125,铁龙物流,5.95,23.11,51.3104,29.0036,0.152,125.477,0.6577,2000,2
000767,漳泽电力,5.94,19.89,34.8205,93.0878,0.2139,467.80300000000005,1.0754,2000,2
000681,视觉中国,5.94,7.67,13.6781,10.4196,0.0833,135.7737,1.0861,2000,2
600332,白云山,5.94,3.95,25.5298,86.1531,0.1175,2179.0969,2.9732,2000,2
600635,大众公用,5.92,55.47,53.4085,71.2358,0.1495,128.421,0.2696,2000,2
600256,广汇能源,5.9,32.93,48.5749,28.4808,0.161,86.4683,0.4888,2000,2
600100,同方股份,5.88,8.26,21.9298,87.2671,0.2403,1056.0664,2.9086,2000,2
000415,渤海金控,5.88,37.1,56.6987,23.6923,0.1016,63.8463,0.2738,2000,2
600661,新南洋,5.87,20.28,23.5662,17.2309,0.11900000000000001,84.9351,0.5868,2000,2
600236,桂冠电力,5.86,41.05,73.5651,146.0344,0.2162,355.6883,0.5266,2000,2
000423,东阿阿胶,5.82,15.59,62.5287,23.3362,0.1391,149.6811,0.8926,2000,2
000766,通化金马,5.8,36.94,72.9025,63.1405,0.2109,170.9267,0.5710000000000001,2000,2
000697,炼石有色,5.79,22.54,36.5533,44.2523,0.2034,196.2856,0.9026,2000,2
600868,梅雁吉祥,5.79,36.09,42.3358,91.8788,0.1323,254.5187,0.3665,2000,2
600609,金杯汽车,5.78,3.02,21.8586,109.4673,0.1126,3616.1825,3.721,2000,2
000001,平安银行,5.78,18.67,12.925,177.9528,0.1146,953.0263,0.6141,2000,2
000852,石化机械,5.77,19.61,41.4469,31.3796,0.1568,160.0119,0.8,2000,2
600199,金种子酒,5.77,13.41,28.9777,41.3623,0.128,308.4284,0.9548,2000,2
600866,星湖科技,5.76,21.4,31.0375,43.0554,0.2234,201.1842,1.0439,2000,2
600737,中粮糖业,5.73,21.12,34.2576,44.8965,0.23399999999999999,212.4799,1.1077,2000,2
600220,江苏阳光,5.73,23.43,40.0424,64.9349,0.2078,277.0685,0.8869,2000,2
